asset,exchange,published_at,source,text,positive_probability,neutral_probability,negative_probability,sentiment_score
RELIANCE,marketaux:economictimes.indiatimes.com,2026-07-07 04:02:17+00:00,marketaux:economictimes.indiatimes.com,"Reliance Industries Limited has extended its Coal Bed Methane production contract with South West Pinnacle Exploration. This awarded work is expected to generate revenue from the second quarter of FY 2026-27. South West Pinnacle Exploration also received a separate contract from CMPDI for exploration services. This pact valued at Rs 5.89 crore will strengthen SWPE's order book. The exploration work is scheduled for completion within 180 days.

Synopsis

Reliance Industries Limited has extended its Coal Bed Methane production contract with South West Pinnacle Exploration. This awarded work is expected ...",0.9267239570617676,0.06479459255933762,0.00848139077425003,0.9182425662875175
RELIANCE,marketaux:economictimes.indiatimes.com,2026-07-07 15:53:41+00:00,marketaux:economictimes.indiatimes.com,"Indian equities ended lower after four straight gains as profit booking, weak global cues and caution ahead of the US Fed minutes weighed on sentiment. IT stocks remained resilient, while analysts expect earnings, monsoon progress, stable rupee and foreign inflows to guide near-term market direction.

Live Events



as a Reliable and Trusted News Source Addas a Reliable and Trusted News Source Add Now!

(You can now subscribe to our

(You can now subscribe to...",0.48559045791625977,0.08312733471393585,0.43128228187561035,0.054308176040649414
RELIANCE,gdelt:manilatimes.net,2026-07-10 01:30:00+00:00,gdelt:manilatimes.net,NEXT Properties Announces the Termination of Its Tender Offer for,0.016292179003357887,0.24490801990032196,0.7387998104095459,-0.722507631406188
RELIANCE,gdelt:mondaq.com,2026-07-10 01:30:00+00:00,gdelt:mondaq.com,Proposed EB - 5 Changes : What Investors And Regional Centers Should Know Now,0.037986986339092255,0.9407777786254883,0.021235214546322823,0.016751771792769432
RELIANCE,gdelt:fool.com,2026-07-10 02:45:00+00:00,gdelt:fool.com,D - Wave Quantum vs . Rigetti Computing : Which Quantum Computing Stock Is a Better Buy in 2026 ?,0.0932277962565422,0.8933050632476807,0.013467102311551571,0.07976069394499063
RELIANCE,gdelt:usa.chinadaily.com.cn,2026-07-10 02:45:00+00:00,gdelt:usa.chinadaily.com.cn,Scientists vow quicker path to applications,0.4115104377269745,0.5749078989028931,0.013581710867583752,0.39792872685939074
RELIANCE,gdelt:japan.cnet.com,2026-07-10 03:00:00+00:00,gdelt:japan.cnet.com,"アルミニウム市場は輸送 、 建設 、 持続可能な製造分野での需要拡大を背景に2030年までに2 , 570億ドルを突破へ",0.10787194222211838,0.8523629307746887,0.03976511210203171,0.06810683012008667
RELIANCE,gdelt:forbes.com,2026-07-10 03:15:00+00:00,gdelt:forbes.com,Meet The Small Indian Firm Building A Missile - Tracking System For Space,0.19682936370372772,0.7950289249420166,0.008141642436385155,0.18868772126734257
RELIANCE,gdelt:siliconindia.com,2026-07-10 03:45:00+00:00,gdelt:siliconindia.com,"India , Australia , Canada Form Tech Triangle To Boost AI , Minerals",0.6825425028800964,0.30864477157592773,0.00881265476346016,0.6737298481166363
RELIANCE,gdelt:ghanamma.com,2026-07-10 04:00:00+00:00,gdelt:ghanamma.com,"Ghana as a Strategic and Dynamic Partner for Russia in West Africa : A Deep Dive into Economic , Diplomatic , and Technological Collaboration – Ghanamma . com",0.3186678886413574,0.6725451946258545,0.008786939084529877,0.30988094955682755
RELIANCE,gdelt:etoday.co.kr,2026-07-10 04:00:00+00:00,gdelt:etoday.co.kr,"KB운용 ,  RISE 차이나AI반도체TOP4Plus ETF  주목 … 중국 AI 반도체 투자 기회",0.13978619873523712,0.8441156148910522,0.016098203137516975,0.12368799559772015
RELIANCE,gdelt:greenleft.org.au,2026-07-10 04:45:00+00:00,gdelt:greenleft.org.au,New research finds Labor Safeguard Mechanism is failing,0.036605335772037506,0.2744837701320648,0.6889109015464783,-0.6523055657744408
RELIANCE,gdelt:businessday.co.za,2026-07-10 05:15:00+00:00,gdelt:businessday.co.za,AYABONGA CAWE | Regional value chains will determine Sacu future,0.050566814839839935,0.937167227268219,0.012266024015843868,0.03830079082399607
RELIANCE,gdelt:forbes.com,2026-07-10 06:00:00+00:00,gdelt:forbes.com,Get A Grandstand View Of Indian Two - Wheeler Titan TVS Motor Global Race,0.04068734869360924,0.9407674670219421,0.01854519732296467,0.02214215137064457
RELIANCE,gdelt:miragenews.com,2026-07-10 06:15:00+00:00,gdelt:miragenews.com,Exercise Set to Boost Regional Economies,0.8491695523262024,0.13889044523239136,0.011940022930502892,0.8372295293956995
RELIANCE,gdelt:unitaid.eu,2026-07-10 06:30:00+00:00,gdelt:unitaid.eu,The Future Of Display Technology : Understanding Digital Ink Innovations,0.10889875888824463,0.8784266114234924,0.01267461571842432,0.09622414316982031
RELIANCE,gdelt:investegate.co.uk,2026-07-10 06:30:00+00:00,gdelt:investegate.co.uk,Transaction in Own Shares | Company Announcement,0.03002335876226425,0.9508234858512878,0.019153108820319176,0.010870249941945076
RELIANCE,gdelt:navbharattimes.indiatimes.com,2026-07-10 07:00:00+00:00,gdelt:navbharattimes.indiatimes.com,"Petrol Diesel Export : 90 % कच्चा तेल आयात करने वाला भारत पेट्रोल - डीजल का एक्सपोर्ट बढ़ाने की तैयारी में , क्या है प्लान ?",0.09509621560573578,0.8847848773002625,0.02011893317103386,0.07497728243470192
RELIANCE,gdelt:philstar.com,2026-07-10 07:15:00+00:00,gdelt:philstar.com,The rise of human - centered AI : This chatbot learned to speak Filipino,0.11629102379083633,0.8713100552558899,0.012398938648402691,0.10389208514243364
RELIANCE,gdelt:lokmat.com,2026-07-10 07:30:00+00:00,gdelt:lokmat.com,IT शेअर्सच्या जोरावर शेअर बाजारात मोठी तेजी ; अवघ्या काही मिनिटांत गुंतवणूकदारांची ₹४ . ५९ लाख कोटींची कमाई ...,0.048097360879182816,0.9270956516265869,0.024806957691907883,0.023290403187274933
RELIANCE,gdelt:economictimes.indiatimes.com,2026-07-10 07:30:00+00:00,gdelt:economictimes.indiatimes.com,Critical mineral push calls for board - level focus on communication : Experts,0.13785848021507263,0.8523039221763611,0.00983759481459856,0.12802088540047407
RELIANCE,gdelt:moneycontrol.com,2026-07-10 07:30:00+00:00,gdelt:moneycontrol.com,"Sensex Today | Stock Market Live : Sensex up 700 pts , Nifty above 24 , 150 ; Dixon , Cupid , TCS , Kalyan Jeweller most active",0.8884525299072266,0.09469510614871979,0.01685231737792492,0.8716002125293016
